"","parish_of_conviction","total_convictions"
"1","Acadia",28
"2","Allen",52
"3","Ascension",118
"4","Assumption",33
"5","Avoyelles",59
"6","Beauregard",43
"7","Bienville",17
"8","Bossier",87
"9","Caddo",525
"10","Calcasieu",277
"11","Caldwell",7
"12","Cameron",5
"13","Catahoula",30
"14","Claiborne",33
"15","Concordia",24
"16","DeSoto",42
"17","East Baton Rouge",843
"18","East Carroll",13
"19","East Feliciana",12
"20","Evangeline",57
"21","Franklin",23
"22","Grant",6
"23","Iberia",79
"24","Iberville",41
"25","Jackson",13
"26","Jefferson",970
"27","Jefferson Davis",11
"28","LaSalle",22
"29","Lafayette",213
"30","Lafourche",61
"31","Lincoln",51
"32","Livingston",80
"33","Madison",20
"34","Morehouse",47
"35","Natchitoches",35
"36","Orleans",1579
"37","Ouachita",211
"38","Plaquemine",21
"39","Pointe Coupee",25
"40","Rapides",182
"41","Red River",12
"42","Richland",24
"43","Sabine",32
"44","St. Bernard",40
"45","St. Charles",39
"46","St. Helena",3
"47","St. James",28
"48","St. John the Baptist",46
"49","St. Landry",119
"50","St. Martin",48
"51","St. Mary",70
"52","St. Tammany",477
"53","Tangipahoa",144
"54","Tensas",12
"55","Terrebonne",246
"56","Union",32
"57","Vermilion",52
"58","Vernon",43
"59","Washington",145
"60","Webster",39
"61","West Baton Rouge",40
"62","West Carroll",12
"63","West Feliciana",32
"64","Winn",15
